id,lat,lng
b159752220,40.42284661235955,-86.92340418202244
b159752221,40.422786815068484,-86.9247327808219
b159752222,40.42767573448275,-86.9169510448276
b159752223,40.42304653333334,-86.92269273589746
b159752224,40.424634692105265,-86.91693717368423
b159752228,40.42539913571428,-86.916999
b159752229,40.42374163636364,-86.92286008636363
b159752232,40.42603875263158,-86.91697979473683
b159752235,40.422242293548386,-86.92225701935483
b159752237,40.4253430652174,-86.90657753913042
b159752239,40.42253676249999,-86.919367675
b184280688,40.42852949636364,-86.92090287090915
b184282132,40.43053035714286,-86.91886838571429
b195521218,40.433516086170215,-86.91597341808509
b220562774,40.421585439999994,-86.89391092000001
b220568267,40.431927640000005,-86.92706007999999
b230052559,40.42360462,-86.90213094
b230052563,40.42349623333334,-86.90055088333334
b231217849,40.43461855333333,-86.92347240666666
b256639574,40.43277531379311,-86.91457341724139
b256639576,40.42550008571429,-86.92946204285715
b256640455,40.431038423529415,-86.91313173529412
b256667242,40.41631851111111,-86.92941319444445
b268945366,40.42954876153847,-86.89231010769232
b278460781,40.44046907777777,-86.92665096666667
b278460782,40.440028819999995,-86.92716754
b278460783,40.43927917777778,-86.92733327777778
b278460784,40.43949524,-86.9268579
b283273584,40.41869618636363,-86.89366019318182
b283273585,40.417866588888884,-86.89509031111112
b283273586,40.41945404,-86.89610619999999
b283273587,40.420616589189194,-86.89993494864869
b283273588,40.421363958823534,-86.89973472941176
b283273589,40.42075845151514,-86.90012093636365
b283273591,40.419951819999994,-86.9052209
b283273592,40.42184385714285,-86.90306835714286
b283273593,40.42226927272727,-86.90207108181818
b283273594,40.42293314,-86.90254966
b283273595,40.42335586,-86.90263446000002
b283273598,40.42345565454545,-86.9008993
b283273599,40.42351702222223,-86.8996347
b283273600,40.4237094,-86.90160132
b283273601,40.423731045454545,-86.90250578181818
b283273602,40.42415770952381,-86.90185113809527
b283273603,40.42415074,-86.90096589999999
b283273604,40.4243417,-86.90057321249998
b283273606,40.424510500000004,-86.90011654000001
b283273607,40.424503040000005,-86.89979186000001
b283273608,40.424494300000006,-86.89912262
b283273609,40.42448248,-86.8985996
b283273616,40.42305171666666,-86.89812236666667
b283273618,40.42236242,-86.89845194
b283273619,40.42246036,-86.89941879999999
b283273627,40.43230760555556,-86.89864519444444
b283273628,40.432476959999995,-86.89811802
b283273629,40.432211790909086,-86.89761933636363
b283273630,40.43161226666666,-86.89894437222222
b283273631,40.43094556799999,-86.89928766000001
b283273632,40.43022562,-86.89958340666666
b283273633,40.429955041666666,-86.899778625
b283273634,40.42834062,-86.90034424000001
b283273635,40.428435875000005,-86.89982226250001
b283273636,40.42836057142857,-86.8993855142857
b283273637,40.42767418,-86.90008334
b283273638,40.42781722,-86.90058886
b283273639,40.427830240000006,-86.89938076000001
b283273640,40.4283453,-86.89892218
b283273641,40.428412699999996,-86.89849428
b283273642,40.428056769230764,-86.89796830769228
b283273643,40.427823540000006,-86.89893872
b283273644,40.4276854,-86.89851417999999
b283274991,40.42114173793102,-86.92122405172414
b283274992,40.42124717608696,-86.92242043913043
b283274993,40.42037011666667,-86.92399984166667
b283274997,40.42488637192982,-86.92534159473685
b283274998,40.424993043181814,-86.92457144772726
b283274999,40.42488465645162,-86.92378287903227
b283275000,40.42476090666666,-86.92283365666668
b283275001,40.42488537714286,-86.92224224285717
b283275002,40.428549028571425,-86.92417856428571
b283275005,40.43208747272727,-86.91956399393939
b283275006,40.429258681818176,-86.92544245454543
b283275010,40.431897680000006,-86.92252354
b283275025,40.429615552777776,-86.91134074722223
b283526729,40.42528435,-86.92993321666665
b283526730,40.42477786538461,-86.92961573076923
b283526731,40.42601883333333,-86.92950446666667
b283530872,40.41775379999999,-86.89367488888891
b283530873,40.4180133,-86.8946497
b283537176,40.42527012352941,-86.89128808823527
b283537183,40.419790877777785,-86.89273701111111
b283537184,40.41943433333333,-86.89219204444444
b283537185,40.419813039999994,-86.89374855999999
b283537186,40.419351766666665,-86.89381857777778
b283537187,40.41959181428571,-86.89516598571427
b283537188,40.41968402857143,-86.8949195
b283537189,40.41875134,-86.89518464
b283537190,40.41873932,-86.89465529999998
b283537195,40.418955600000004,-86.89227668
b283537201,40.42032518888888,-86.8922450111111
b283537202,40.42018384615385,-86.89389189999999
b283537203,40.421227438461536,-86.89393167692307
b283537204,40.422216662500006,-86.89407422500001
b283537205,40.41852775714286,-86.89573878571427
b283537206,40.418073039999996,-86.89583481999999
b283537207,40.41770814444444,-86.89572676666666
b283537208,40.41678296,-86.89585723999998
b283537867,40.43610146285714,-86.91182652285714
b283537870,40.437338184,-86.90417088000002
b299012565,40.4295919,-86.89988586666665
b299012566,40.42925872222222,-86.89996705555555
b299012567,40.4289529,-86.90004686666667
